timestamp,detected_text,target_found
2025-09-03T23:20:48.747594,re],False
2025-09-03T23:20:50.078754,s.|,False
2025-09-03T23:20:51.525712,re],False
2025-09-03T23:20:52.713062,re],False
2025-09-03T23:20:53.707605,ft qj > } *,False
2025-09-03T23:20:55.219952,s |,False
2025-09-03T23:20:56.368991,re],False
2025-09-03T23:20:57.525836,re],False
2025-09-03T23:20:58.248346,,False
2025-09-03T23:20:59.282079,ra,False
2025-09-03T23:21:00.149378,re],False
2025-09-03T23:21:01.081133,r],False
2025-09-03T23:21:02.234988,re],False
2025-09-03T23:21:03.662009,s. |,False
2025-09-03T23:21:05.490934,|,False
2025-09-03T23:21:07.241200,se |,False
2025-09-03T23:21:08.667024,—— ‘ _ : =i a ; = sen ‘,False
2025-09-03T23:21:09.697943,s |,False
2025-09-03T23:21:10.987654,S|,False
2025-09-03T23:21:11.842087,Ps =,False
2025-09-03T23:21:12.836870,f |,False
2025-09-03T23:21:13.711117,S|,False
2025-09-03T23:21:14.787741,S|,False
2025-09-03T23:21:16.088953,f |,False
2025-09-03T23:21:16.674037,j,False
2025-09-03T23:21:17.352408,"a i ee * om Po , ; = ; if fe",False
2025-09-03T23:21:18.154706,,False
2025-09-03T23:21:19.264075,S|,False
2025-09-03T23:21:20.045117,"4 4 4 bj ~‘ - o , «",False
2025-09-03T23:21:21.167893,Rs. as | = r gee,False
2025-09-03T23:21:22.386885,,False
2025-09-03T23:21:23.426074,2 |,False
2025-09-03T23:21:24.762141,2 |,False
2025-09-03T23:21:25.774432,f |,False
2025-09-03T23:21:26.718007,f |,False
2025-09-03T23:21:27.758328,Sf |,False
2025-09-03T23:21:28.713060,f |,False
2025-09-03T23:46:56.966468,a - a | ; ‘3 ; “ ba,False
2025-09-03T23:46:57.976881,‘ :. a Fa 4 Re ra ‘ q _ Me | ——e + - — ba y a | es | es 4 . =—,False
2025-09-03T23:46:58.821128,"e_ se > -_— ; 1 B= : Be . = | . _— 5 x, ‘| =i . < “iad v =",False
2025-09-03T23:46:59.578484,— i- os a : % Bt,False
2025-09-03T23:47:00.242181,E > vw i,False
2025-09-03T23:47:00.954408,we fo ¥. al “a .,False
2025-09-03T23:47:01.725014,|,False
2025-09-03T23:47:02.331824,= =,False
2025-09-03T23:47:03.122277, . ee” a2. : 4 a= * q,False
2025-09-03T23:47:03.902449,\- 4 = 2 e = ¥ a ¥ | | af fi o aa,False
2025-09-03T23:47:04.719403,ges ’ p ae . ¥,False
2025-09-03T23:47:05.456278,= i= P | a. | a sy | a of i-,False
2025-09-03T23:47:06.204705,"—_ Et 2, . ¢7 s * ¥ — ; 2 bd ‘ad",False
2025-09-03T23:47:07.107158,"= — 5 _ as = a . P i= ; | & + | 5 | | a as -_"" . 7 | Ps : * a ae i- + vo | Ld | | i se. a + din",False
2025-09-03T23:47:08.021881,\- 7 < . i ie 2 ae \ —— . aul | ae 7 | ul ie q xa - | 7 * ey 4 Paes <> “~~,False
2025-09-03T23:47:08.808584,"i: <a x _— — ‘i {= é | ¥. | oes ay | ir a 7 = a +. | J - : al aan j , J Fe “i a se 4 ee ng -_ > = 5 ial oY zx",False
2025-09-03T23:47:09.447113,"| ° a iw. , t Yoo % é ~ » = * . 4 3 nd FS ? 4 "" ‘ » -",False
2025-09-03T23:47:10.179698,"-_ a 1- ' 4 é = q ~ i eS * - ] ba ee — “ , ] y J ¥ ? | aati a - ps a",False
2025-09-03T23:47:11.094302,* a a + ae a . * ‘Sa 4,False
2025-09-03T23:47:11.895025,,False
2025-09-03T23:47:12.564976,. aad q = | ee = i a rm ¥ a 3 | i > Tm Poe cer,False
2025-09-03T23:47:13.263510,"a. * = ba « a z f } *; ._- i | Mea = ax, « i - | _— y San",False
2025-09-03T23:47:13.698421,: * ¥o,False
2025-09-03T23:47:14.182971,4 - 8 22 Ze Sethe,False
2025-09-03T23:47:14.759269,"c 1% oa ~"" q  . 3 J +). Fae",False
2025-09-03T23:47:15.235534,3. + 4,False
2025-09-03T23:47:15.783265,‘ ee ae .,False
2025-09-03T23:47:16.634523,"‘. — | t zl &.. a, 4 ¢ 4 = - . | 3 » — 4 #, 4. od — ~",False
2025-09-03T23:47:17.276326,= —_ = 2 £ a fe i |,False
2025-09-03T23:47:17.809361,= oe Pe — Bae q ‘ ff | m “ ¥ x .,False
2025-09-03T23:47:18.480710,¥ es a —_ = q Sie d ee rs - d pall ~ i —s a f * * x _— yo f 2 oe,False
2025-09-03T23:47:19.095423,"= ’ = — Ps 2. 2 1 ee ae, | a . - q",False
2025-09-03T23:47:19.749069,: : ; a * ; — ‘ re | a - P ; ==,False
2025-09-03T23:47:20.192465,ej ¢ i |=,False
2025-09-03T23:47:20.716876,_— ’ 4 i 1 at ' 4 y | = ag a 4 it . - ——.,False
2025-09-03T23:47:21.369201,% Pe é 2 Ball a | 4 A A i? | oe : | — | { ae eed 4 |= —~_ ¥ - ad *e d ~ ' . a ; a a> ‘ ag,False
2025-09-03T23:47:21.771073,& . :,False
2025-09-03T23:47:22.323509,* ™ i = i Pe y ——? 4 : # = ms =,False
2025-09-03T23:47:22.772953,,False
2025-09-03T23:47:23.303359,a uae ;,False
2025-09-03T23:47:23.869994,= 4 =—0 im = 4 § ae * te ie 4 = ¥ a x 4 : * . « z ca 7 Se * A isnt te eo,False
2025-09-03T23:47:24.382138,7 ; i p< ie “ » ” | ‘er 4 ‘a ae oe,False
2025-09-03T23:47:24.954318,i = & ea =4 | Joao i ¥ av <4 Ee | — f- a peng ea,False
2025-09-03T23:47:25.533206,,False
2025-09-03T23:47:26.351169,—,False
2025-09-03T23:47:27.024841,". “a 4 ee @, ' ify - « 2 _ - a. ae",False
2025-09-03T23:47:27.679869,". a H _., F Es at ord . cs tae i oe . “4 # a | "" oF ee Po 3 = ; - 4 oil 2 er",False
2025-09-03T23:47:28.388221,"ws i : | - a . = f ""4 :  —— — > [2 ~~ . oi ——",False
2025-09-03T23:47:29.036627,me nm a - i ‘ - * j _ —> af te et,False
2025-09-03T23:47:29.541600,=,False
2025-09-03T23:47:30.032191,i LA ¢ L_ d q,False
2025-09-03T23:47:30.610501,; ri Ent “ “ual ied : ‘4 f - 42 ¥ ? “ee £ . : : ‘ s = —: 4 2 { eo ¥ oie i,False
2025-09-03T23:47:31.061115,sg. g = ~~ i -* _ |,False
2025-09-03T23:47:31.552517,7 a ¥ é,False
2025-09-03T23:47:32.077054,i= : ie j,False
2025-09-03T23:47:32.536555,& iti,False
2025-09-03T23:47:33.202694,13 4 3 i,False
2025-09-03T23:47:33.902373,"t é <= ""3 ae * le. F. + b ? J : p* ~ ca — ¥ —ea",False
2025-09-03T23:47:34.471430,iis eee,False
2025-09-03T23:47:34.991501,% ¢ 3% P a ‘ - in = » ion a,False
2025-09-03T23:47:35.541229,o j,False
2025-09-03T23:47:36.155986,so : |,False
2025-09-03T23:47:36.868220,2 I,False
2025-09-03T23:47:37.563885,s |,False
2025-09-03T23:47:38.356941,ee,False
2025-09-03T23:47:39.018267,": oe al q PeGiex Be %, a '",False
2025-09-03T23:47:39.685789,“,False
2025-09-03T23:47:40.223880,rn,False
2025-09-03T23:47:40.939836,e,False
2025-09-03T23:47:41.602506,Ee ~€,False
2025-09-03T23:47:42.299440,"2, «e",False
2025-09-03T23:47:42.870991,"2 og tm, 2 _ ‘ -",False
2025-09-03T23:47:43.500207,e,False
2025-09-03T23:47:44.090260,Re ©! i -_ 3,False
2025-09-03T23:47:44.685539,": , 5 a os py v. 4 7",False
2025-09-03T23:47:45.198769,WE ee es r- % |,False
2025-09-03T23:47:45.900382,ee ee peer SS - ee See =i 2 ee pee = : ‘vi é. ete ~ 4 oe ® a a : =. 2 5 a Loe ‘ at wa,False
2025-09-03T23:47:46.538397,HE LL O es 4 tee] ae | |,False
2025-09-03T23:47:47.013866,,False
2025-09-03T23:47:47.565826,> ap oe - e: Fe : Ass HELLO poe Pat,True
2025-09-03T23:47:53.513677,~ a a eee = a i} wr . Pa,False
2025-09-03T23:47:54.120143,a ne SI. 5 hg = a ; he 5),False
2025-09-03T23:47:54.683964,; ae 4 - ],False
2025-09-03T23:47:55.423236,. x _ eae > 4 HE t= < meee a - - z 5 “he.,False
2025-09-03T23:47:55.947206,; eel,False
2025-09-03T23:47:56.633568,PS in aes - HELLO ee ;,True
2025-09-03T23:47:57.457135,HELLO _— Fail ; : Se ; aor : LL y..%,True
2025-09-03T23:47:58.464943,ss | oie eee | ’ a = a,False
